year,state,total_labor_force,attain_Less than high school,attain_High school,attain_Some college,attain_BA or greater,share_Less than high school,share_High school,share_Some college,share_BA or greater
2022,US,164287143.7127215,12951940.478810629,43275922.8418897,42323803.44718043,65735476.94484075,0.07883721261512018,0.2634163688277615,0.2576209098941386,0.4001255086629798
2022,Alabama,2293319.7632242837,185830.29863484701,735579.5078837076,639729.8246663412,732180.1320393881,0.0810311329518129,0.3207487763719101,0.2789536090540273,0.3192664816222498
2022,Alaska,354328.14472961426,20236.41838582357,111262.27989196777,103381.15183766682,119448.29461415608,0.057112082928850776,0.3140091509718241,0.2917666952947144,0.33711207080461075
2022,Arizona,3625133.990193685,355117.43670654297,888605.7150472006,1007700.0250447592,1373710.8133951824,0.09795980994555449,0.2451235505917738,0.2779759390330616,0.3789407004296101
2022,Arkansas,1366408.464864095,109673.22299194336,472954.8405812581,385050.99440511066,398729.4068857829,0.08026386385336952,0.34612991118164577,0.28179786960219716,0.2918083553627876
2022,California,19178099.734476727,1958393.283915202,4468539.531555176,4759110.182759603,7992056.736246745,0.10211612782441486,0.23300220529784932,0.24815337539433516,0.4167282914834006
2022,Colorado,3209656.720225016,225315.21830240887,590784.6185099283,776352.016825358,1617204.866587321,0.07019916394255798,0.1840647365144117,0.24188007768348857,0.5038560218595418
2022,Connecticut,1923327.7575174968,132972.5306294759,448012.62485758465,427681.8401896159,914660.7618408203,0.06913669815752463,0.23293618214913586,0.22236555289028798,0.4755615668030515
2022,Delaware,489462.25664520264,42547.15206400553,152638.84461975098,111747.85184733073,182528.4081141154,0.08692631860038753,0.311850081487273,0.22830739312415174,0.3729162067881877
2022,District of Columbia,371255.3076693217,11538.549260457356,44309.00215784709,35251.64246368408,280156.1137873332,0.031079823027701407,0.11934914125810495,0.0949525615808376,0.754618474133356
2022,Florida,10677375.772644043,663865.1119791666,3112868.63667806,2893519.4200236,4007122.6039632163,0.0621749319416126,0.2915387360116501,0.2709953720498381,0.3752909599968992
2022,Georgia,5239981.417358398,400524.9345703125,1457703.5907185872,1267115.9591471355,2114636.9329223633,0.07643632728228773,0.27818869469454166,0.2418168802945716,0.403558097728599
2022,Hawaii,666391.9472325643,25210.090138753258,208652.86363220215,163230.22798665366,269298.76547495526,0.03783072446095328,0.31310832085938206,0.24494627923480577,0.4041146754448589
2022,Idaho,969776.4339040121,86977.95588684083,251280.94467671716,311161.82420857745,320355.70913187665,0.0896886672495177,0.2591122406069818,0.32085933760623436,0.33033975453726616
2022,Illinois,6459538.973347981,522625.5281982422,1513536.0723063152,1603592.063313802,2819785.3095296226,0.08090755862834667,0.23431023151205613,0.24825178235323184,0.4365304275063653
2022,Indiana,3414454.9061686196,255777.08669026694,1090700.668416341,934583.4560546875,1133393.6950073242,0.07491007897869002,0.3194362492372825,0.27371380842261267,0.33193986336141484
2022,Iowa,1724158.6968485515,129288.2649230957,508491.61416625977,546498.7385355631,539880.0792236328,0.07498629050760301,0.2949215841300978,0.31696545076416893,0.3131266745981304
2022,Kansas,1504744.6404418945,109018.7567952474,337606.5090637207,465789.9021097819,592329.4724731445,0.07245000504752232,0.2243613301487332,0.30954747376471436,0.39364119103903017
2022,Kentucky,2041571.26369222,175568.88087972006,615736.1025187174,555427.4461568196,694838.8341369629,0.08599693971113231,0.30159912292512736,0.2720588088374239,0.34034512852631643
2022,Louisiana,2088387.6727701824,190963.67928059897,665122.4738972982,602316.1917724609,629985.3278198242,0.09144072327686721,0.3184861137467995,0.2884120604741489,0.30166110250218436
2022,Maine,672918.9482574463,39683.92468770345,196919.9208424886,175177.14468892416,261137.95803833008,0.05897281506259669,0.2926354226648269,0.2603242859226259,0.3880674763499505
2022,Maryland,3181392.5022379556,206470.73036702475,689126.1247151693,724212.4979044596,1561583.149251302,0.06489948355060955,0.21661147570769795,0.2276400970314135,0.49084894371027904
2022,Massachusetts,3710489.333190918,249895.74435424802,782618.7798563639,657145.7100423177,2020829.0989379883,0.06734846051675471,0.21092063864884728,0.17710486435415532,0.5446260364802427
2022,Michigan,4841988.222351074,262274.45967610675,1331997.3272908528,1489147.9083455403,1758568.5270385742,0.054166686830303123,0.27509305395296657,0.3075488497620653,0.36319140945466494
2022,Minnesota,3081312.2690226235,208330.7330118815,631689.3204142252,902021.0793863933,1339271.1362101238,0.06761104192726397,0.2050065898107087,0.29273926192248917,0.43464310633953807
2022,Mississippi,1260290.550470988,108430.5656229655,399178.77798461914,410095.0105082194,342586.1963551839,0.08603616490058066,0.3167355161358946,0.3253971953966974,0.27183112356682726
2022,Missouri,3046740.2957356772,224302.1600341797,881431.3989664713,836258.6224161783,1104748.1143188477,0.07362037399384541,0.28930309557403144,0.2744765031619646,0.36260002727015866
2022,Montana,576692.6798756918,32579.750495910645,162545.74341583252,166198.5070622762,215368.67890167236,0.05649412873236631,0.2818585168288764,0.2881925033244759,0.3734548511142813
2022,Nebraska,1064563.784790039,81611.12112935384,251252.3521677653,336946.4209950765,394753.89049784344,0.07666156062734163,0.23601437110442292,0.3165112563560778,0.37081281191215765
2022,Nevada,1542806.6379191082,154970.67541503906,456473.9440917969,501833.06758626306,429528.9508260091,0.10044724439613438,0.29587242683080195,0.32527282113792344,0.2784075076351402
2022,New Hampshire,768745.2323608398,44576.201558430985,201465.50379943848,186192.56790669757,336510.95909627277,0.05798566245612493,0.262070573342916,0.242203216447788,0.437740547753171
2022,New Jersey,4734100.167948405,345686.3110555013,1164174.1688639324,924882.1425577799,2299357.5454711914,0.07302048938379556,0.24591244958140485,0.19536598503334832,0.48570107600145124
